year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2019-01	5635693	14881061	2.640502419134612	240	212029210	37.62256212323844	3322	14.248258911108556
2019-02	5075466	13286331	2.6177558868486166	176	189102158	37.25808782878262	2000	14.232835084418715
2019-03	5359269	14404748	2.68781955150973	294	207096910	38.642753330724766	1923	14.376989448201385
2019-04	4766730	13137125	2.7560035915606718	306	189929014	39.844718286959825	1936	14.457426111116398
2019-05	4688758	12846676	2.7398889002162194	336	185554764	39.574395607536154	3862	14.44379573362012
2019-06	4811992	13045360	2.7110103258692035	294	187232910	38.90964698195675	1908	14.352452519516518
2019-07	5457629	14808155	2.7132945460382154	314	212835486	38.99779299765521	2160	14.372856442953225
2019-08	5571747	15280177	2.742439130850701	310	219451845	39.38654159996855	1862	14.36186537629767
2019-09	5289923	14304867	2.7041730097016536	320	205190617	38.788961011341755	1932	14.344112182238394
2019-10	5886264	15720005	2.6706252047138896	314	223301824	37.93608713438609	1916	14.204946118019683
2019-11	5459290	14386116	2.6351624478640994	500	203652694	37.303879075850524	1849	14.156197127841873
2019-12	5808978	15474233	2.663847754286554	297	220337233	37.930464360512296	2560	14.238976044887007
